               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062591,           0.0021022,                   0,             0.72341,             0.56171,             0.64556,              0.2834,            0.041608,           0.0019019,                   0,           0.0033304,           0.0033304,            0.070027
                   1,            0.039704,           0.0020713,                   0,             0.77323,              0.6768,             0.75522,             0.39614,            0.035663,           0.0016851,                   0,           0.0065812,           0.0065812,            0.039944
                   2,            0.036943,           0.0018747,                   0,             0.83104,             0.71581,             0.79266,             0.40453,            0.035569,           0.0015588,                   0,           0.0097496,           0.0097496,           0.0097792
                   3,            0.035393,           0.0016728,                   0,             0.84519,             0.76405,             0.84696,             0.48501,            0.031333,           0.0012529,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,            0.033012,           0.0014026,                   0,             0.88843,             0.79614,             0.87616,             0.50855,            0.030495,           0.0010643,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.031879,           0.0012351,                   0,             0.90767,             0.83515,             0.91265,             0.54496,             0.02888,          0.00098188,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.030981,           0.0011524,                   0,              0.9109,             0.84186,             0.91451,             0.56815,            0.027298,          0.00093126,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.030289,           0.0010817,                   0,             0.92669,             0.83772,             0.91449,             0.54523,            0.029395,          0.00087009,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.029461,           0.0010349,                   0,             0.92434,             0.88138,              0.9416,             0.57021,             0.02702,           0.0008131,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.029204,          0.00099797,                   0,             0.92413,             0.88318,             0.94304,              0.5944,            0.026118,          0.00079144,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.028946,          0.00097922,                   0,             0.93374,             0.89849,             0.95146,             0.61098,            0.025509,          0.00074099,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.028276,          0.00095276,                   0,             0.95232,             0.90122,             0.95811,             0.62055,            0.024831,          0.00071791,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.028343,          0.00094189,                   0,             0.94876,             0.90871,             0.95808,             0.60751,            0.025441,          0.00070411,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.027966,          0.00092585,                   0,             0.94991,             0.90038,              0.9596,             0.63288,            0.024358,          0.00068011,                   0,            0.008515,            0.008515,            0.008515
