               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034707,          0.00066028,                   0,              0.9225,             0.87458,             0.93638,             0.57831,            0.029743,          0.00050057,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.034525,          0.00064616,                   0,             0.92845,             0.87386,             0.93801,             0.57883,            0.029666,           0.0004967,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.034535,          0.00064803,                   0,             0.91686,             0.88483,             0.93942,             0.58062,            0.029635,          0.00049453,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.034468,          0.00064114,                   0,             0.91188,             0.89113,             0.94032,             0.58162,            0.029602,          0.00049208,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.034216,          0.00064038,                   0,             0.91578,             0.88794,             0.94104,             0.58294,            0.029565,          0.00049048,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034116,          0.00063247,                   0,             0.92111,             0.88362,             0.94207,             0.58339,            0.029544,          0.00048842,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034104,          0.00063493,                   0,             0.91674,             0.88908,             0.94282,              0.5847,            0.029514,          0.00048662,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034033,          0.00062742,                   0,             0.92001,             0.88666,             0.94317,             0.58507,            0.029474,          0.00048517,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033907,          0.00062785,                   0,             0.91035,             0.89627,             0.94364,             0.58535,            0.029442,          0.00048382,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033655,           0.0006225,                   0,             0.91435,             0.89189,             0.94359,             0.58551,            0.029412,          0.00048245,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033357,          0.00061798,                   0,             0.92613,             0.88279,             0.94423,             0.58564,            0.029387,          0.00048086,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033446,          0.00061596,                   0,             0.92787,             0.88237,             0.94459,             0.58638,            0.029358,          0.00047931,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.033325,          0.00060751,                   0,             0.92828,             0.88377,             0.94469,             0.58747,            0.029336,          0.00047796,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.033222,          0.00061213,                   0,             0.92451,              0.8894,             0.94533,             0.58796,             0.02931,           0.0004767,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.033212,          0.00059799,                   0,             0.92412,             0.89176,             0.94584,             0.58844,            0.029291,          0.00047501,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032928,          0.00059813,                   0,              0.9255,             0.89191,             0.94598,             0.58862,            0.029265,          0.00047314,                   0,            0.004852,            0.004852,            0.004852
